,r,vobs
1,3264.30331874,977.9
2,3253.79933867,999.3
3,3304.94243663,753.1
4,3216.2304327,1021.5
5,3487.32795303,906.5
7,3095.20933647,901.1
12,3209.29254536,902.1
19,3786.04183206,1012.7
20,3001.0304779,809.0
22,3202.57072275,1010.6
23,3000.07806668,1058.7
26,2986.47135122,627.6
28,2780.120686,853.2
29,2837.63281365,1199.5
30,2731.4260555,747.9
32,2650.13979527,969.8
36,2547.11350695,954.9
38,4683.39689192,1065.8
40,2631.06556357,906.8
47,2641.24375605,977.9
50,4050.48287436,1131.8
53,3087.28576166,597.3
54,2796.85651052,1359.1
63,3486.66897946,1013.4
64,3483.8132054,945.8
66,2249.19931839,560.2
69,2066.77868983,1448.0
72,2825.08972403,1291.9
75,1976.84504746,1532.5
77,1987.86627203,1223.5
78,3328.5398102,1014.8
79,1929.39900415,917.2
80,1954.73034458,1480.6
81,2580.21263175,1247.5
84,2473.07451398,838.2
85,2394.94558209,1300.4
87,2015.2474704,890.3
88,3141.56752822,1226.1
90,1842.1912434,915.8
92,2358.16592751,933.2
96,1759.74793361,1237.9
99,1648.79873735,694.9
100,1571.6290541,1426.9
101,2255.57869199,791.1
102,3002.80211747,1321.5
103,2989.5831226,1331.3
105,1566.8406071,1742.9
106,2927.43390027,1287.1
110,2889.19226921,907.8
111,1616.81326916,589.4
113,1457.18449376,1714.7
114,1425.79575499,1960.5
116,1369.53980464,172.6
118,1449.51658443,854.4
120,1450.25277932,489.1
121,1342.4342118,1648.3
123,1324.15747427,1293.5
129,1507.12961586,459.7
132,3409.52224793,1279.1
133,1286.54937094,1894.2
134,3044.76698881,1337.7
135,1374.67587213,1197.3
137,1316.32769455,230.4
140,2092.01158096,1292.3
143,2812.57566569,1289.4
147,1260.84231357,1497.4
150,1236.98648078,669.2
153,1286.62053473,2015.1
155,2109.69873638,758.7
156,1329.84084052,1648.0
158,1218.24841521,1415.8
159,1231.49154812,1889.1
161,1206.31916139,20.2
163,1458.76845283,1213.0
166,1189.14506975,2198.3
169,1180.61915486,1741.5
170,1239.11907951,441.9
171,1245.12124534,-198.8
176,1485.1422528,773.8
177,1191.45491977,2082.7
179,1182.79543959,2158.3
180,1157.19844042,1915.3
181,1297.00852117,2061.2
182,1249.46410507,1613.0
184,1427.16326583,1856.5
185,1141.00941772,2110.9
186,1108.28192129,952.2
187,1293.61569118,-119.8
188,3353.18348521,944.8
195,1632.53871828,1205.8
196,1084.80796076,625.3
198,1121.080685,1296.8
200,1274.35397069,-91.8
203,1058.78977806,2140.9
204,1063.20574344,1383.8
205,1349.33416005,1497.4
206,1058.05995071,596.1
208,1153.83623473,2079.0
209,1045.44849409,2348.9
210,1050.0050789,2290.9
213,1258.80700762,1700.4
214,1072.72948628,277.6
215,2494.11512058,933.8
217,1037.31075795,1379.6
219,1114.2170199,2341.0
221,1232.00420119,1179.1
222,1153.43978529,997.4
223,2428.46548934,881.5
224,1051.63003645,377.6
225,1024.11803649,708.0
228,2706.18909059,1360.9
229,1112.67561629,1497.4
230,1239.21905199,637.9
232,1066.44171393,-156.8
233,1209.39592485,1073.5
234,1065.20150563,788.8
235,990.796486929,-75.9
236,1112.34196098,1383.1
237,1466.66677498,710.8
239,956.334091895,1098.3
240,1202.36648903,570.0
244,1000.84944425,-148.8
245,1069.99090359,295.1
246,1138.43620805,525.5
249,942.704293863,16.5
251,1088.47574315,2087.9
253,3790.49822902,894.4
254,3415.37149057,996.4
256,957.747933307,-87.3
258,1832.50108169,1005.8
259,1071.81770022,1338.3
260,962.390461094,-166.1
261,899.302899276,2074.4
262,1191.59131568,1280.9
263,1090.42153252,1212.7
264,891.405264985,402.0
268,887.366084919,2175.3
271,1185.70224648,867.7
272,1266.3168334,1491.5
273,1417.97872294,914.5
274,882.675678713,1429.9
277,942.81928932,1383.1
278,1654.9641941,956.6
279,880.050740923,2075.9
280,1336.50869673,1408.5
281,860.523854224,-141.5
288,867.916532305,1669.8
292,1731.17194656,758.8
293,1045.04467008,1597.6
299,895.960821059,242.6
307,1977.63747766,833.9
309,828.075461502,957.7
311,855.58255911,210.9
312,1630.87002147,693.9
313,1946.78564203,1389.0
315,784.388636901,154.8
318,952.819914249,2353.4
319,1834.2379784,1462.2
321,876.283914864,-438.6
326,767.998579341,2226.9
328,765.105395706,751.8
329,1854.380326,1613.5
330,854.903344277,-213.6
331,1779.13214758,656.8
332,1103.81413798,1986.1
337,1869.16803219,1499.8
342,2064.59465537,946.4
344,781.565380929,315.0
347,1778.17778164,1528.9
348,1493.17042527,917.6
350,1043.34639822,1215.7
352,727.696233736,949.5
359,985.550835629,1359.7
364,1033.83852986,1792.3
367,2069.61910156,1497.4
370,1010.97476018,1880.4
371,961.483691783,1182.5
372,679.529627795,274.1
374,792.405502154,268.9
375,1926.92708797,930.3
378,1660.81070882,1497.4
381,677.680063178,1167.1
382,1837.62144294,983.4
383,775.537671772,823.5
384,893.137149477,655.0
385,1514.64475014,1414.0
392,1723.10486384,804.2
393,644.573645029,625.7
395,651.084451153,1434.2
396,661.404390689,975.1
399,1095.61734285,1534.9
400,1723.97842981,932.4
401,675.248781555,1459.7
404,656.469332016,367.7
406,1291.50918183,1364.2
410,609.110276837,338.2
411,850.314910858,1143.7
414,1121.69653255,1418.2
415,1083.11106363,1274.4
417,2200.02459809,1109.3
418,633.962518315,257.6
420,937.232328346,1229.0
421,842.222965565,1116.2
422,1015.97327017,1504.2
423,1791.5789562,758.6
424,598.608711111,-104.6
425,906.328245303,524.0
426,1168.62474024,1091.8
427,1052.28041838,838.5
429,1672.35622566,916.7
430,585.27195213,141.8
431,1533.41647778,1497.4
432,1133.99146817,847.7
